,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.246699,0.233,0.152766,0.186982,0.196832
Normalized EBITDA,121386000.0,75376000.0,99069000.0,107473000.0,84863000.0
Net Income From Continuing Operation Net Minority Interest,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Reconciled Depreciation,10191000.0,9637000.0,13583000.0,9522000.0,10025000.0
Reconciled Cost Of Revenue,353422000.0,327265000.0,393728000.0,370684000.0,335538000.0
EBITDA,121386000.0,75376000.0,99069000.0,107473000.0,84863000.0
EBIT,111195000.0,65739000.0,85486000.0,97951000.0,74838000.0
Net Interest Income,-10588000.0,-6368000.0,-6829000.0,-8213000.0,-7766000.0
Interest Expense,13485000.0,9808000.0,9972000.0,11178000.0,10382000.0
Interest Income,2897000.0,3440000.0,3143000.0,2965000.0,2616000.0
Normalized Income,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Net Income From Continuing And Discontinued Operation,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Total Expenses,579722000.0,549602000.0,614989000.0,571873000.0,531655000.0
Total Operating Income As Reported,78537000.0,73299000.0,84295000.0,98321000.0,75243000.0
Diluted Average Shares,55975000.0,56059000.0,56036000.0,56054000.0,56456000.0
Basic Average Shares,55560000.0,55355000.0,55232000.0,55421000.0,55810000.0
Diluted EPS,1.32,0.76,1.14,1.26,0.92
Basic EPS,1.33,0.77,1.16,1.27,0.93
Diluted NI Availto Com Stockholders,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Net Income Common Stockholders,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Net Income,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Net Income Including Noncontrolling Interests,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Net Income Continuous Operations,73869000.0,42882000.0,63978000.0,70548000.0,51769000.0
Earnings From Equity Interest Net Of Tax,264000.0,,,,0.0
Tax Provision,24105000.0,13049000.0,11536000.0,16225000.0,12687000.0
Pretax Income,97710000.0,55931000.0,75514000.0,86773000.0,64456000.0
Other Income Expense,29761000.0,-11000000.0,-1952000.0,-3335000.0,-3021000.0
Other Non Operating Income Expenses,29761000.0,-11000000.0,-1952000.0,-3335000.0,-3021000.0
Net Non Operating Interest Income Expense,-10588000.0,-6368000.0,-6829000.0,-8213000.0,-7766000.0
Interest Expense Non Operating,13485000.0,9808000.0,9972000.0,11178000.0,10382000.0
Interest Income Non Operating,2897000.0,3440000.0,3143000.0,2965000.0,2616000.0
Operating Income,78537000.0,73299000.0,84295000.0,98321000.0,75243000.0
Operating Expense,226300000.0,222337000.0,221261000.0,201189000.0,196117000.0
Selling General And Administration,226300000.0,222337000.0,221261000.0,201189000.0,196117000.0
Gross Profit,304837000.0,295636000.0,305556000.0,299510000.0,271360000.0
Cost Of Revenue,353422000.0,327265000.0,393728000.0,370684000.0,335538000.0
Total Revenue,658259000.0,622901000.0,699284000.0,670194000.0,606898000.0
Operating Revenue,653578000.0,622901000.0,688320000.0,670194000.0,604544000.0
